Ressource;Code Attributaire;Attributaire;Date d'effet (attribution);N° décision d'attribution
2;LEFR;Lebara France Limited;25/11/2020;2022-2395
3;AIFL;Airmob Infra Full;04/02/2021;2023-0185
4;NWOT;Netwo;02/07/2021;2023-1541
5;GNTL;Nexera;21/04/2023;2023-0901
6;ACMO;Agence des communications mobiles opérationnelles de sécurité et de secours;15/11/2023;2023-2498
21;PAOP;Paritel operateur;09/06/2016;2016-0760
22;AVMI;AVM Informatique;16/06/2016;2016-0791
23;EVMI;Even media interactive;01/09/2022;2022-1739
25;OVH;OVH;28/07/2016;2016-0969
26;TRFR;TP France opérations;29/04/2024;2024-1013
27;LEGO;Legos-Local exchange Global opération services;11/03/2014;2014-0288
28;GSCO;GS Communication;08/07/2014;2014-0765
30;IPDI;IP Directions;04/08/2016;2016-1027
31;AXLY;Axialys;11/08/2016;2016-1042
32;AIRN;Airnity;24/05/2024;2024-1134
33;SEWA;Sewan;11/08/2016;2016-1045
34;ADIS;Adenis;11/08/2016;2016-1062
36;HUBT;Hub One;18/08/2016;2016-1080
37;JAG;Free Pro;08/09/2016;2016-1135
39;VOIM;Voip telecom;12/06/2024;2024-1275
40;CPOM;Capacom;15/09/2016;2016-1177
41;INCL;Nomotech;22/09/2016;2016-1219
42;ANEL;Annatel telecom;22/09/2016;2016-1221
43;AERA;Aera telecom;22/09/2016;2016-1217
44;CEHI;Cellhire (France);21/06/2019;2021-0921
45;FRCA;Free Caraïbe;22/11/2019;2023-2253
46;IPDI;IP Directions;26/11/2019;2021-2067
47;SMAA;Syma;26/09/2022;2022-1883
48;SOCT;Société commerciale de télécommunication - SCT;04/08/2016;2016-1008
49;PHON;Keyyo;29/10/2013;2013-1291
50;BOUY;Bouygues Telecom;13/03/2008;2008-0304
52;FRTE;Orange;01/01/2017;2016-1702
54;UPCF;SFR fibre SAS;01/05/2014;2014-0283
55;FRTE;Orange;01/01/2017;2016-1702
56;SFR0;Société française du radiotéléphone;19/02/2013;2013-0261
57;RMII;Adista;05/05/2016;2016-0604
58;OUTR;Outremer Telecom;31/03/2011;2011-0364
60;GLOB;Globalstar Europe;28/02/2012;2012-0241
61;FRTE;Orange;01/01/2017;2016-1702
62;SFR0;Société française du radiotéléphone;19/02/2013;2013-0261
63;BOUY;Bouygues Telecom;31/05/2011;2011-0664
64;FRTE;Orange;01/10/2023;2023-1911
65;BUYC;Digicel Antilles Françaises Guyane;05/11/2009;2009-0922
66;DAUF;Dauphin telecom;14/04/2011;2011-0423
67;TELC;Telco OI;25/06/2015;2015-0670
68;FRTE;Orange;01/01/2017;2016-1702
69;SPMT;SAS SPM Telecom;11/02/2010;2010-0206
70;FRMO;Free mobile;23/02/2010;2010-0265
71;FREE;Free;06/12/2005;2005-0961
72;LYCA;Lycamobile SARL;20/10/2011;2011-1232
73;NRJ;Bouygues Telecom Business - Distribution;15/11/2011;2011-1337
74;MAOR;Maore mobile;01/10/2019;2021-2033
75;RMII;Adista;19/06/2018;2018-0669
76;SWFR;Sierra wireless France;05/10/2023;2023-2181
77;NETW;Networth telecom;22/12/2016;2016-1737
79;TRAT;Transatel;24/07/2012;2012-0984
80;FRMO;Free mobile;24/07/2012;2012-0983
81;COMP;Completel;29/01/2013;2013-0120
82;LEGO;Legos-Local exchange Global opération services;11/03/2014;2014-0288
83;NRJ;Bouygues Telecom Business - Distribution;30/04/2013;2013-0579
84;SEWA;Sewan;30/06/2015;2015-0770
85;PHON;Keyyo;09/09/2015;2015-1075
86;OUTR;Outremer Telecom;08/09/2016;2016-1139
87;CORI;Coriolis telecom SAS;16/02/2017;2017-0195
88;HALY;Halys;18/05/2017;2017-0603
89;ZEMO;Zeop mobile;23/11/2017;2017-1365
90;CTFR;Cubic telecom France;28/12/2017;2017-1564
91;ONOF;Onoff telecom;07/05/2019;2023-0851
92;BJTP;BJT Partners;03/10/2019;2021-2091
